par_bin,bin_n,par_fam_inc,par_inc_log,kid_fam_rank,kid_fam_bin,kid_fam_inc,kidzero,kid_inc_log,kid_inc_log_z,kid_inc_log_z1000,college,kid_teenbirth_givenf,coll_qual_20_rank
1,98677,1700,7.175799847,0.295949996,30.11230087,22100,0.177059993,9.586099625,7.888899803,2.260279894,0.246179998,0.294860005,0.34407
2,98677,4100,8.319700241,0.31200999,31.71730042,23900,0.156010002,9.647999763,8.142900467,2.364720106,0.260610014,0.304820001,0.34804
3,98678,6100,8.708800316,0.321240008,32.63840103,24400,0.142989993,9.683699608,8.299099922,2.429369926,0.27094999,0.302269995,0.35059
4,98677,7700,8.952500343,0.331369996,33.65039825,25500,0.133090004,9.725299835,8.430999756,2.488169909,0.281969994,0.305020005,0.35491
5,98677,9200,9.126899719,0.337839991,34.29629898,26400,0.127220005,9.751299858,8.510700226,2.527470112,0.288430005,0.303009987,0.35596
6,98678,10500,9.262000084,0.34266001,34.77659988,26700,0.122139998,9.768500328,8.575400352,2.555560112,0.298649997,0.30013001,0.35946
7,98677,11800,9.372300148,0.348329991,35.34519958,27200,0.119379997,9.795800209,8.62650013,2.585400105,0.305979997,0.293709993,0.36218
8,98677,12900,9.465100288,0.35334,35.84640121,27700,0.114440002,9.813599586,8.690600395,2.615570068,0.313659996,0.288870007,0.36448
9,98678,14000,9.545499802,0.357580006,36.270401,28100,0.113580003,9.840499878,8.722800255,2.637530088,0.318589985,0.289840013,0.36573
10,98677,15000,9.617600441,0.359510005,36.46319962,28300,0.11039,9.845399857,8.758600235,2.650850058,0.323119998,0.288859993,0.36727
11,98677,16100,9.683400154,0.364899993,37.0021019,28800,0.107819997,9.868000031,8.804100037,2.67821002,0.329299986,0.286599994,0.36956
12,98678,17100,9.744099617,0.368649989,37.3757019,29400,0.104390003,9.881400108,8.849900246,2.699790001,0.336789995,0.284949988,0.37075
13,98677,18000,9.800600052,0.372669995,37.77890015,29600,0.099699996,9.887700081,8.902000427,2.720099926,0.343329996,0.278050005,0.37414
14,98678,19000,9.853300095,0.376729995,38.18170166,30200,0.10018,9.9083004,8.915699959,2.737230062,0.34946999,0.278010011,0.37738
